protocol,duration,src_bytes,dst_bytes,pkts,conn_rate,failed_logins
udp,0.25647386784740733,4881,3799,11,2.515128968866607,0
udp,22.085010729811202,235124,283650,278,15.471658970528207,7
icmp,0.48601351265670434,3396,3573,3,3.6714211489882116,0
tcp,0.5067661882631391,4129,5085,7,1.977498447039883,0
udp,11.878536398240943,201105,277899,365,35.57393424265932,6
udp,1.8455345006615336,3265,3008,1,2.82719896198656,0
icmp,0.0,2857,5663,10,1.6784888126169715,0
udp,0.4240696854221984,4736,4522,4,1.5041638507731885,0
udp,0.6507655684974776,3224,3955,7,2.1313410279596496,0
icmp,1.3258796272200786,3782,4709,9,2.8019873233960104,0
icmp,1.822611771748298,5271,3282,12,2.109673502485963,0
icmp,1.5777944492082239,4573,5048,4,2.0026746227549834,0
tcp,1.2889172873272599,3648,3570,6,2.4361978297147213,0
tcp,1.1992827931257264,5407,3684,7,1.5994744497586058,0
icmp,12.985094948432735,225253,83364,479,31.688508598034915,2
tcp,0.6691448152608553,3445,4427,9,2.2352801987403152,0
tcp,0.5989862486000062,4289,5417,5,2.651217045642763,0
icmp,0.6926055691851916,4323,4975,6,3.210289137758699,0
udp,1.781403829455524,4123,3807,7,2.8875954526878984,0
icmp,1.508590810561559,4039,3021,10,3.0830432822408564,0
udp,1.2130132687399953,3778,5066,6,2.045256547562804,0
udp,0.2998877439241806,3869,3018,4,3.2481520785828106,0
icmp,0.6661176916335565,5725,3690,10,2.546605206887655,0
udp,0.4298175336692934,4263,3750,12,2.4160181722508107,0
tcp,0.9066511030100318,3987,3864,11,2.435931924997486,0
icmp,0.4363051849907834,4278,2967,11,1.1658499056644052,0
tcp,14.732462355942447,252922,163190,366,37.752385717410654,6
tcp,0.7651696556970448,4855,3158,2,2.1184609970025448,0
icmp,0.0,2942,3797,8,3.278093357666614,0
udp,0.2628626504871239,3054,4340,7,1.047549456570843,0
udp,0.9679782232633221,1999,4682,13,0.9381840520988158,0
icmp,1.5832763243721375,2079,3687,7,2.9224454069698202,0
tcp,0.1742662569924387,5417,5510,3,1.859249403566217,0
tcp,1.3056340201164436,2422,3127,6,1.7314177372877844,0
udp,0.66610455774977,2549,4696,7,1.6746596144620784,0
icmp,0.10835266845050573,4122,5249,11,1.7444403465073122,0
icmp,0.45364692310203963,3426,3669,9,2.6900826792921357,0
tcp,0.8751007325593363,4339,5172,1,2.5346038382063996,0
tcp,0.12152179837325694,4364,3268,10,1.0041184780481587,0
udp,1.4276802874611412,6679,4221,7,1.922244116136182,0
udp,0.4687433283676983,2339,2783,2,1.9659583860004912,0
icmp,1.258871515988251,4564,3285,5,2.3903869406558105,0
tcp,0.0,4546,2075,10,2.5987893309434913,0
udp,1.424676023266648,3813,2650,9,2.2158017946143826,0
udp,0.9618175954381611,3776,3075,8,2.303399883317997,0
udp,1.757175476079404,3051,3543,4,3.12327471417152,0
udp,0.0,2836,1020,3,3.1663839811342362,0
udp,1.9187797881989108,3500,3999,8,2.6554076105603093,0
icmp,0.40329668382927797,2430,4845,4,1.9280885622068296,0
udp,0.17389183364035365,5278,5224,12,2.0829990613447364,0
tcp,11.296763628520539,74727,176848,291,29.710108467545332,8
udp,0.8443579846557895,4230,1917,13,1.3486392701792966,0
udp,0.6484414796472537,3987,4799,12,2.784320638595257,1
udp,0.7058613489896064,3675,3506,11,2.764667773425656,0
udp,0.5515597966483526,5012,3457,5,2.235053720474758,0
icmp,1.9090084712607065,377,4682,4,1.3827197880043276,0
tcp,1.2003295622656318,3527,3271,11,2.2817098164848604,0
udp,0.5720758069194747,4824,1923,9,2.421972325852786,0
tcp,0.05038176963841268,5743,5294,11,3.000582810863295,0
udp,0.0,4483,4386,7,2.8606283143566578,0
icmp,0.9096125581429786,5255,5443,10,2.213381930748789,0
udp,1.2190316166061446,4584,2345,11,2.928638091909435,0
udp,1.1020652267849758,3232,1017,2,2.888492859685794,0
icmp,1.180472253563202,3397,4640,9,1.5493135064828931,0
tcp,10.232793321415237,208802,259618,396,37.126327722941284,9
udp,0.8550579101146312,3425,3946,5,1.8910875958473121,0
icmp,0.0,2333,3638,6,2.8463740022179156,0
tcp,0.9244696158714745,2162,3977,7,2.915358473098156,0
tcp,0.5785794399940913,2764,2080,9,2.094797983121102,0
tcp,0.0,3196,3318,6,1.9790950224417352,0
tcp,0.7561255258360714,4836,2907,7,1.7207068770438698,0
tcp,0.33517228446356795,6115,5744,11,2.7386600537349395,0
tcp,0.7881386224423399,3620,3937,7,2.8220445279316495,0
udp,1.3719349159762908,6323,2990,8,2.0060188326997257,0
udp,0.46634526124806147,3806,5894,4,1.809756041779138,0
tcp,0.017091732884994437,2609,2234,8,3.7313810121281143,0
tcp,1.005223998582025,3710,4282,5,2.337992562915866,0
udp,1.6406840076213038,3583,5050,9,1.4010201141181102,0
udp,2.2678906281556896,4237,2228,11,1.6795883223134083,1
tcp,13.98693240445995,165256,181764,486,48.156336510340054,2
tcp,0.6379915983296525,4749,3651,7,1.9860940199560406,0
tcp,0.8860703804676975,6280,4296,11,1.9626896049343872,0
udp,1.2229871966569485,5401,3232,6,2.7172659686169536,0
udp,0.0,6864,4416,8,3.44989066488394,0
tcp,0.7603421962779131,4208,3238,5,2.806245578977097,0
tcp,0.45383666808134143,5005,3015,7,2.05039759638025,0
udp,7.943947107223083,185666,278963,292,46.48746154665599,9
tcp,0.7857450306942433,3292,2471,8,3.4629384626585216,0
tcp,0.0,6222,4097,5,3.366214636398292,0
icmp,1.3574191512305958,6607,2324,12,2.3028580031145265,0
tcp,0.29580449535509146,4192,1921,11,3.2490945294180538,0
tcp,0.1478736913173696,4874,2289,7,2.8210143742269884,0
udp,0.11919285188348838,4562,3203,5,3.1826652069159262,0
icmp,0.9871309456122559,4433,4615,8,1.345389089902046,0
icmp,0.22538495373166312,6000,6839,9,2.7249331384783613,0
tcp,0.7444954088500582,3312,3606,9,1.3684748823181418,0
tcp,1.4525156971121762,4799,5042,5,2.427534294082028,0
udp,0.8768352615838788,387,6214,10,2.0207114147626255,0
icmp,0.36699082164658314,3730,3177,8,2.443354646510183,0
udp,1.4576735303723305,3246,4710,12,2.1172538410541093,0
udp,1.4408603366059904,5278,5114,11,1.7312314961531654,0
icmp,0.5558062502826695,3114,3769,5,3.3673265287869443,0
udp,1.1185058057764277,4990,4317,7,1.4725961554702587,0
tcp,0.8660436033684004,4330,3408,11,1.9081735129363517,0
icmp,0.45321119294100537,3576,2923,10,2.870048084971799,0
udp,1.028730895332382,2899,4954,2,1.0208146051910434,0
tcp,0.6724305281318954,4540,4285,13,2.6806562526854765,0
tcp,1.5389413622649042,3366,4193,9,2.082555524775347,0
udp,1.8872928713376047,3600,3962,4,2.1134529919655702,0
icmp,1.1351396823327218,3688,5850,7,1.046857136304955,0
tcp,18.29712234679868,232529,219447,381,35.43041908290896,12
icmp,0.9454216752136319,5439,4932,11,3.5285483053783486,0
icmp,0.0,3655,2708,8,1.2663295958523328,0
udp,4.399265396962459,81840,376118,306,33.89906444042945,5
icmp,0.7883773684872591,3724,3483,10,2.878474200458715,0
udp,1.2491014850173627,2589,4563,8,2.1042661601013655,0
tcp,0.7552132513528084,2528,2371,8,1.8386769524801831,0
udp,1.3342357373463725,4025,4012,8,2.816356762924318,0
icmp,6.185641296312086,79738,324670,257,24.668429487915084,5
tcp,4.626915534248645,300148,209633,230,34.312129109747275,7
icmp,1.5849793223129056,1742,1965,9,3.9288123376236683,0
tcp,0.8176946366983612,2990,4548,8,1.4912434902769838,0
tcp,0.7577304841553991,3831,1730,8,3.428703796814146,0
udp,15.130691296680476,170822,153530,99,33.08673621009751,11
icmp,1.106470509326789,4109,4397,3,2.915051315903008,1
icmp,0.8639386976311687,4458,5754,10,3.0486426657126406,0
tcp,0.5235275246486152,1729,4116,5,3.085287343608557,0
udp,1.0461323592754233,5264,4150,5,2.882826776603734,0
icmp,0.48884762676931764,2568,4639,10,0.9179619928402181,0
udp,0.6058719637122737,4128,4176,7,3.604350343070969,0
icmp,0.7130624543372535,8196,6974,11,3.2603254464627875,1
udp,0.5454463201451718,1943,4260,1,3.1975508004357533,0
udp,0.558985480059032,3484,7443,8,2.24363865722239,0
tcp,16.809046304220388,227086,313833,412,55.61678114323803,6
udp,0.5396582029059547,3816,5175,7,1.432578661641074,0
udp,1.6089932141815708,3121,3214,5,3.555256477622874,0
icmp,0.9135577028981061,3500,5301,6,1.63489661019885,0
icmp,1.122024850485647,3967,4429,10,2.2307343666086,0
udp,1.2541516210992474,3106,2944,11,2.4240356760816386,0
tcp,1.0271096071090884,5926,4570,14,1.954896626346864,0
udp,3.2146502629569227,156700,180280,275,11.347829385903932,9
icmp,1.0570511701999092,3676,2890,7,3.638037415151368,0
icmp,1.0771267943241534,5037,2460,10,1.4497441147938586,0
icmp,0.06096058137188476,3902,2606,6,3.754709815338014,0
udp,0.5568196049134707,3224,4548,6,2.807483537322837,0
tcp,0.9772544397934968,2423,4870,7,2.345881066984873,0
udp,1.0863872012893272,4804,3111,11,2.561929009302306,0
tcp,1.3619231296534755,4468,4294,11,2.9611372487950853,0
tcp,0.9071187812157706,4027,4832,3,1.1277308292439148,0
tcp,1.382247996089512,4053,3807,7,2.1083530015327825,0
icmp,9.822622603566538,246494,216377,101,17.673782144793698,3
icmp,1.4175466861249704,4318,3558,7,2.1572622566682997,0
tcp,0.9955822743662374,4563,2860,12,1.625506785566857,0
udp,0.48683282654348276,4313,2048,7,4.232068739975421,0
icmp,1.426485421868922,4535,3338,7,2.717678638443886,0
udp,0.7750943190572458,5764,4463,9,1.9516987634817349,0
udp,0.8209538597138774,4305,5054,8,3.566596346039848,0
udp,0.5518820033020455,5505,3977,5,3.0231170819799624,0
udp,0.5748298421080392,3298,5406,4,3.3081976957464154,0
tcp,0.5242520518198817,4448,1542,7,2.838722471094316,0
tcp,1.9634962485484198,4015,4270,6,2.944818690641618,0
udp,1.296220493784926,4854,3029,5,2.867837521933198,0
icmp,0.4939086777345919,5214,3463,11,1.7002361570826885,0
udp,0.34213616921294393,2817,3671,13,2.64383962558215,0
udp,0.00040143159911887327,2601,4120,8,2.1921685147800543,0
tcp,1.0612636418445793,4768,4828,5,3.0467570228631207,0
tcp,0.8696967079931758,4325,4106,6,4.637493300041566,0
icmp,1.3154392441491838,2122,3714,7,2.991223644108265,0
tcp,0.554826942590696,4483,4356,6,3.28386999555123,0
icmp,1.0922105745487378,1897,3934,7,1.8326740350349218,0
tcp,0.37841672301959406,656,4436,14,2.367454725840762,0
icmp,0.38838716622799707,3999,4283,3,3.757096541347705,0
udp,0.7071690342823176,2482,2664,7,2.610171779405341,0
udp,0.7189560577260979,3473,6677,7,2.821097376949089,0
tcp,0.3477117779231058,3478,3761,11,0.01,0
udp,20.73393649329315,209974,231952,337,27.009082357342635,9
icmp,1.0436942063617942,5152,3774,6,2.9126165197291094,0
icmp,0.3735655110742466,3900,2995,9,2.346795764079076,1
icmp,0.2089367100894941,1448,3815,5,3.314756439224715,0
icmp,0.9746665345911387,3344,3698,7,1.9646377531612522,0
udp,0.8914139558188522,5620,3090,12,1.319751096228599,0
icmp,0.9975692460879979,3739,2993,6,2.6438254788970283,0
tcp,1.026874053094088,3164,4187,10,2.490287006759585,0
icmp,16.592903041891987,152597,229967,415,46.352725237217655,11
udp,0.6678487467625622,1896,4125,14,3.4641471247958577,0
udp,1.4356028271004488,3361,3144,7,1.885839349638864,0
icmp,1.0543404103980984,5174,4745,7,3.033758065932097,0
udp,0.0,3865,5285,2,2.948718453144893,0
icmp,1.3784771064133616,5931,4582,4,2.0130817144223068,0
tcp,1.048340867804783,2836,4146,6,2.512969470786754,0
udp,1.0392630331067165,3760,2349,5,3.5324516254270013,0
udp,0.6539256666490304,6162,2941,7,2.1684967115466187,0
udp,0.22868690938948055,5357,4133,7,3.2152639611155656,0
tcp,1.4007887438887232,2584,3979,8,3.7469127173830645,0
udp,0.5255084656584812,2023,3536,9,2.2610343941222473,0
tcp,0.8776125581560832,4495,5383,9,1.9145320169828581,0
icmp,0.39385100369377324,3145,4339,6,2.632550750565278,0
tcp,0.07670538202567834,4023,1816,11,2.7098576270529877,0
udp,0.8543195701566951,4104,3323,4,2.326081372477448,0
icmp,1.3526896045069767,3620,2606,10,2.2227171538250214,0
udp,1.1478286175743777,2400,5162,9,1.4010186013160468,0
icmp,0.47983905045565284,3421,4126,4,2.4087195609936183,0
icmp,1.2334195079130235,4023,3611,4,2.234632364869782,0
icmp,0.5248686148473793,4161,2361,3,2.6185161588258183,0
udp,0.7484366033871376,2369,4057,14,1.8957092862598235,0
icmp,1.4438319939066715,4475,4804,2,1.6755631346828097,0
udp,1.188693647424046,6419,5018,8,3.6138886732847726,0
icmp,1.1157628988039825,6323,5000,3,3.5536287389448105,0
udp,0.7523810884465211,3822,4523,8,3.9989550137434424,0
tcp,0.9196123009976199,5630,3359,2,2.0078530651292357,0
tcp,1.1475763916868338,3479,1950,5,0.9089123963580203,0
icmp,0.21569701254422535,2008,4068,4,2.6638579179934627,0
icmp,0.49748095024063327,4224,3179,3,2.414000020317929,0
udp,0.5027422323674231,3332,5182,9,1.7267016543786213,0
udp,7.550495023638324,175827,290856,463,1.8390390515788226,8
icmp,1.015291474634861,4055,3062,6,3.497069846406171,0
tcp,0.0,4946,6178,8,1.8188335964281022,0
tcp,8.29620859361897,250947,158791,218,22.159674638339624,12
tcp,5.050919732351918,76084,177474,195,34.58389774516974,3
udp,0.14884403908119748,6036,2650,7,2.3721922351873026,0
tcp,0.37822190072241235,3847,3982,7,3.515082517991325,0
udp,0.7934963818177437,3017,4281,8,2.3602036510700954,0
udp,0.3345387933787588,3346,1396,5,2.1092095583828043,0
tcp,0.19794922688598626,4343,3739,7,1.8159894872410156,0
udp,1.4877430332549677,4505,3186,5,2.8212125183715946,0
udp,0.5463390811611524,4874,2990,5,1.9574899291286652,0
udp,1.463861712333601,3481,3618,8,2.9586529262952803,0
udp,0.849281205939265,3931,4088,7,2.92843802942932,0
udp,0.5735404632432797,4635,2899,9,1.3489043056509635,0
tcp,0.945729678564676,3515,5410,10,1.6348812270979325,0
icmp,1.1092285368811519,1647,2899,13,2.450736688533627,0
udp,0.0,3767,2725,9,2.7998530439977283,0
icmp,1.0433528305155606,5576,3747,9,2.8557926223455823,0
tcp,0.0,2616,4619,9,2.0074811013383327,0
tcp,1.4111238660269578,4252,3300,6,2.0217260358116858,0
tcp,0.6421913270462084,2435,4367,6,2.7492813611897597,0
udp,0.31689059834011374,3260,5487,10,3.295579961842029,0
udp,0.18190552006733163,3040,2645,4,1.6467200252388514,0
icmp,0.40944415281506774,5320,2683,5,3.7654400754913664,0
udp,0.5463075676811356,4164,4412,10,2.260631148717254,0
udp,0.8854752635408952,3346,4512,7,1.8983287718247577,0
tcp,1.0488360258982876,2613,3433,3,0.6808994347516015,0
tcp,1.1372824011346716,5759,3080,8,2.8879794582963805,0
icmp,1.0343108803582892,4581,3647,6,4.210163850759661,0
tcp,0.5874547754470711,5414,2569,11,1.8081269858884867,1
udp,1.2361103406434384,4196,2390,4,1.658996042654565,0
tcp,0.6917558281436968,2575,5216,11,3.446148328291558,0
icmp,0.9675081254057729,3495,2953,10,3.196018130070658,0
tcp,0.45037284657343024,2473,3407,6,2.3927804188059074,0
tcp,0.2700555154268025,3618,5500,8,3.0633807302655964,0
icmp,4.81424956278734,197271,65585,266,33.13469610654369,3
tcp,1.139360968590029,4771,2876,8,2.514839279682647,0
tcp,1.4215520656502683,7382,3815,13,1.9174050262698135,0
udp,1.1738916957230834,4872,3725,6,2.4454223704846694,0
udp,1.4676119864325217,5856,2668,7,3.972825164041522,0
udp,0.9805171272971754,4616,3733,4,2.4371570251377843,0
udp,1.0506916564397988,3854,3783,8,2.286158696420735,0
udp,0.8233804707800236,5046,4042,9,2.488067891637932,0
tcp,0.5796400357940272,3927,4085,3,2.2162629683324826,0
icmp,1.890589819448269,5918,2477,8,2.346322146402281,0
icmp,0.9354535141410181,3948,5165,7,3.6535816373127545,0
icmp,0.0,4279,3659,5,2.0699092542494046,0
icmp,0.7725333333852523,4422,2673,1,1.8988662699870327,0
tcp,0.0,4427,3187,10,1.485410498102478,0
tcp,5.758124841566225,133787,201891,291,35.58591955878736,10
tcp,1.0257252402891506,3303,3547,1,2.294906379072566,0
udp,0.8130373317098537,2912,3135,2,2.152306335689774,0
udp,0.0,4855,4258,10,2.9941554202335983,0
tcp,0.874929527048445,3784,4170,10,2.783211000149744,0
udp,1.0126091878102719,3936,3142,7,2.0169007076106755,0
udp,0.30278870334377167,4416,2647,8,1.746082171701275,0
icmp,0.5432059643024666,4897,3961,3,2.499754013219317,0
icmp,0.6797768845742769,4550,1919,8,2.6187269266951927,0
udp,1.36921148245739,5601,3583,6,2.3525823424619334,0
udp,0.178118641404178,2316,2187,3,3.6962250686246136,0
udp,1.2255828096813666,850,3784,5,0.9802512679721043,0
tcp,1.7225899514122913,4851,3069,10,2.1531479254274455,0
tcp,1.3968550138895717,3017,3075,9,2.547821587023561,0
udp,1.408412565514551,5435,4231,8,2.5503800708406743,0
udp,0.6787247053328446,3216,3749,10,2.838299447868783,0
tcp,0.010362961098532741,3503,3601,8,1.7189447278843981,0
udp,0.6514411876310352,4057,3298,7,1.7825028558001,0
udp,1.9049220278528576,3436,3435,10,1.0836115953691752,0
icmp,1.016967923114332,3380,4019,1,2.5016905629631934,0
tcp,1.4320030963237462,3443,2816,10,2.1142960317028403,0
icmp,0.1833692177908659,6995,3103,3,3.8369772336870804,0
udp,0.12702927780195417,6342,4268,4,3.4942405682044746,0
udp,0.9094894218688561,3383,3161,12,2.0290655750576594,0
icmp,0.47685029425742687,4033,2890,3,1.325744657627658,0
icmp,1.101781977971576,4909,3001,8,2.4341308899941105,0
icmp,0.7059884198851476,3597,4699,8,2.86610506251019,0
udp,0.583450380682363,3370,4115,8,3.177399331984133,0
icmp,1.5979302593212594,4716,2600,3,1.5343720601390012,0
tcp,0.35143934101138696,2864,3855,7,2.329240326270053,0
tcp,0.9009116751990175,3377,4234,8,1.9316369890521483,0
tcp,0.03169215470741349,4379,3885,5,2.7918624305597053,0
tcp,0.443574044255767,4634,3048,4,2.5923885713878634,0
tcp,1.2771872069993357,4184,4517,7,1.6509047838299766,0
udp,0.8208436386567024,3878,2553,3,3.60071495823947,0
udp,0.8973823413495031,5515,4147,10,2.209463753602556,0
udp,0.6484317198757715,2654,2422,7,2.2192028909947408,0
icmp,0.19691684451988423,1731,3681,12,2.225641283964757,0
icmp,0.46634939178074153,3448,2164,8,3.4515600600785072,0
icmp,1.159481653782905,4639,5544,6,1.457928080003787,0
icmp,1.3113538295359761,3310,3706,4,3.079307350798867,0
udp,0.2512965289120457,3728,3914,7,2.176511797323485,0
icmp,0.7273014219256693,5492,2944,4,2.3661865731771803,0
icmp,1.4365022010861286,4143,3130,11,2.7227526890098543,0
icmp,18.606689735793598,125960,270297,450,48.39742489549427,5
tcp,0.0,4081,2839,3,2.748460969605387,0
tcp,0.8446288674985704,4147,3793,12,2.407522522076552,0
tcp,0.9506752556463895,3062,3881,8,2.007139255700428,0
icmp,1.3875571956316723,2356,4996,11,4.13134665726466,0
tcp,1.4562654932095582,3833,3082,11,2.2233539373023556,0
icmp,0.21423006280588408,3359,4162,9,2.905691319299169,0
icmp,1.5227345096691591,1293,4942,6,1.58533133708124,0
tcp,0.06891513417454875,4288,3744,10,3.37248567070485,0
udp,0.34328371384003925,4841,5121,6,2.8747953291891672,0
tcp,13.738879011218414,157873,253306,190,45.68086697838911,8
udp,1.4830569938990803,3471,4534,8,1.4652903903108634,0
icmp,12.9833492359238,151407,227864,305,19.336905127647427,7
udp,1.156049849977454,3566,5662,6,2.351845227958338,0
udp,0.8028409365758873,4717,3258,5,3.0098581380011145,0
tcp,1.1604637443130459,2000,1827,12,2.220145168113343,0
tcp,0.8157612456061629,1360,2493,8,1.5602195889426722,0
icmp,1.1585193657708093,4450,4421,12,2.110020086970004,0
icmp,0.8947275907463345,3397,4363,7,2.830589969487699,0
icmp,0.6730788685862628,3647,4547,14,1.982697364571483,0
udp,0.05341600386444423,3389,3154,9,2.3384292252187335,0
udp,0.43812830001462766,3071,2303,7,2.903472878341163,0
icmp,0.5013944467677267,4935,2151,4,1.6734121861274844,0
icmp,0.28396244646273006,1328,2469,11,1.651305995717252,0
icmp,13.5623843073548,280454,253248,296,46.565174127587795,10
tcp,0.4245294582265896,3419,3821,8,1.9816213383703853,0
tcp,1.2246858338315503,5617,4206,6,1.8560981357644095,0
udp,1.1549841944623171,4007,3880,5,2.9760038671644633,0
tcp,0.7101472952424864,624,3727,5,3.6885356101756592,0
tcp,0.5688644439622668,819,5212,2,3.595057841199126,0
icmp,0.16067120861522044,2109,4423,9,2.999610895886263,0
udp,0.4222121015768185,1154,2997,9,2.305292973749148,0
icmp,0.0,3979,3801,8,1.7340100961063092,0
udp,1.204164324240284,4238,3676,7,2.276301315103093,0
icmp,19.700548630668976,227571,255033,336,29.04627679611899,4
tcp,0.7228811230513391,4220,3463,12,3.3380886891752763,0
icmp,0.8797992571303164,4827,2072,4,2.29146853542213,0
udp,0.8358277584181907,4801,3821,11,1.6540583145433323,0
udp,0.7359402840663842,1514,4282,11,1.7002518459606624,0
icmp,1.2014733844024041,2669,2457,12,2.7224858074472302,0
udp,0.5776745243629032,4416,2479,10,2.4067854402589828,0
tcp,0.9970914397416044,2476,2771,10,2.8733927934535064,0
tcp,8.455657173676533,158911,21481,412,20.594471031198843,5
icmp,1.2759706247561358,3036,2485,8,4.437297547839333,0
tcp,0.0,1606,3210,8,3.533827440167338,0
tcp,0.0,5758,4382,6,3.42618407717554,0
udp,0.9329412544297292,5105,4011,7,2.952373007026141,0
udp,0.5464973094863954,2983,2732,6,1.6910075838823604,0
icmp,0.4066293012244493,5404,2876,9,3.3873321582612568,0
tcp,0.9581475584629314,2274,4975,6,2.6692556932951255,0
udp,13.482315178939382,243709,251996,294,26.26139194203047,15
udp,0.7090078567198637,2872,3130,7,2.8919365572304354,0
udp,1.0113855607430942,5792,2694,7,2.515509761306232,0
udp,0.6655518353132392,3749,2028,8,2.779973762088619,0
icmp,0.6042860475319047,4183,2964,4,2.6706092844739513,0
tcp,13.631256986754547,205937,178203,138,8.761112561441347,9
tcp,1.0887828000504873,3203,3732,8,1.61697086533432,0
udp,0.8724840875137291,4412,4289,6,2.8291285571133833,0
icmp,0.8684502821213304,1864,5249,2,3.1090938021223966,0
tcp,1.1059116458191112,7333,2556,4,2.8118407280501905,0
icmp,1.9835772603724888,2858,3105,3,1.750951443888832,0
udp,0.732522179089072,3657,2972,10,3.0200476780296173,0
tcp,0.5680704733156353,2588,4729,8,2.6577541849932644,0
tcp,1.1319799349330184,5069,3461,10,3.086101822161431,0
udp,0.7411745138842217,4183,2634,4,2.461090788592977,0
icmp,5.291403733242538,161340,207649,208,42.661193659283065,8
udp,1.0082953880888326,4809,3360,8,2.4109275161490005,0
icmp,1.4434516685161105,3198,3692,2,2.1236657491874946,0
tcp,0.0,4144,3410,11,0.9317195332387929,0
udp,1.430213868771316,5125,4971,5,3.2167809079604575,0
tcp,9.343854345894531,164284,222089,261,20.976518714819353,8
udp,0.6443202422727711,3590,5372,2,2.8064923542072817,0
tcp,10.104640809102055,55438,153430,473,11.512898748110363,5
udp,1.027856100307845,3137,3044,9,3.492369511932062,0
udp,0.7099178932307478,3989,5071,10,2.641493013684311,0
udp,15.251385355188496,140236,250516,260,11.373846473613781,14
udp,0.9690839696731494,6436,5787,7,2.059561469368007,0
tcp,0.37296272707524336,5238,4353,3,2.9394993592343406,0
tcp,1.5777049304448227,5516,4983,7,1.8093174116821262,0
icmp,1.0242390956761056,3407,4494,10,2.787948727079143,0
udp,1.3559449270387582,4238,2536,3,2.121082718658122,0
udp,0.04479321391492086,2879,4201,3,2.2101561315247427,0
icmp,1.7774136359765365,2768,2633,8,2.690314369840476,0
icmp,0.8865681495467356,4177,3806,11,2.89412360037063,0
icmp,1.3099040607532126,2527,4506,7,2.303290997685197,0
tcp,14.710446991501739,224439,59598,291,35.95741130540763,9
tcp,1.0806461862310868,5130,3402,9,2.9347405060180467,0
icmp,1.2130691086261516,3727,3932,9,3.87970067083526,0
tcp,0.6623731945222049,3827,4378,6,3.720178331021914,0
tcp,0.6830230539000887,2392,2213,8,2.123382002330539,0
tcp,0.520647455112144,4550,2990,4,2.430058044611977,0
udp,0.6957105053018966,4648,1807,6,2.1932285521781774,0
tcp,0.7748485652534652,5329,3197,9,3.0940782323687217,0
icmp,0.0,3211,4222,6,3.104386839591334,0
icmp,0.2990144218295627,3782,3760,7,2.5863431641995343,0
tcp,1.5005972006326076,5393,5004,7,1.71695899607222,0
